,Term,Ont,N,DE,P.DE
GO:1903311,regulation of mRNA metabolic process,BP,13,7,2.26391346505943e-05
GO:0048511,rhythmic process,BP,59,15,3.61029424987084e-05
GO:0010629,negative regulation of gene expression,BP,90,19,5.38290535548046e-05
GO:0017148,negative regulation of translation,BP,8,5,0.000150550707950747
GO:0048522,positive regulation of cellular process,BP,774,83,0.000162741437184857
GO:0070887,cellular response to chemical stimulus,BP,279,39,0.000163434713102253
GO:0030888,regulation of B cell proliferation,BP,5,4,0.000195315170814237
GO:1901700,response to oxygen-containing compound,BP,158,26,0.000197330962452776
GO:0016071,mRNA metabolic process,BP,28,9,0.000213744800537481
GO:0010632,regulation of epithelial cell migration,BP,23,8,0.000264395049482513
GO:0046649,lymphocyte activation,BP,77,16,0.000270446932229834
GO:0042113,B cell activation,BP,29,9,0.000288825362960566
GO:0010631,epithelial cell migration,BP,29,9,0.000288825362960566
GO:0034249,negative regulation of cellular amide metabolic process,BP,9,5,0.000316719658158974
GO:0048518,positive regulation of biological process,BP,788,83,0.000353335987811506
GO:0045321,leukocyte activation,BP,87,17,0.000376970435027026
GO:0042221,response to chemical,BP,341,44,0.000377248495161879
GO:0090132,epithelium migration,BP,30,9,0.000384522383331355
GO:0010033,response to organic substance,BP,291,39,0.000421028791651967
GO:0010634,positive regulation of epithelial cell migration,BP,14,6,0.000446806403367741
GO:0051173,positive regulation of nitrogen compound metabolic process,BP,707,76,0.000470096635039389
GO:0010604,positive regulation of macromolecule metabolic process,BP,720,77,0.00049122567877059
GO:0090130,tissue migration,BP,31,9,0.000504961147554973
GO:0043542,endothelial cell migration,BP,25,8,0.00050699707062176
GO:0042100,B cell proliferation,BP,6,4,0.000549031150538362
GO:0031325,positive regulation of cellular metabolic process,BP,710,76,0.000551826662117664
GO:0050684,regulation of mRNA processing,BP,10,5,0.00059232805911531
GO:0009893,positive regulation of metabolic process,BP,724,77,0.00060711613366338
GO:0030183,B cell differentiation,BP,20,7,0.000628705554009433
GO:0001775,cell activation,BP,93,17,0.000856759610177324
GO:0051716,cellular response to stimulus,BP,429,51,0.000873989421962116
GO:0010594,regulation of endothelial cell migration,BP,21,7,0.000879934559236102
GO:0010608,posttranscriptional regulation of gene expression,BP,27,8,0.000904817340842877
GO:0036294,cellular response to decreased oxygen levels,BP,16,6,0.00103921343634862
GO:0071456,cellular response to hypoxia,BP,16,6,0.00103921343634862
GO:0014070,response to organic cyclic compound,BP,112,19,0.00110015455406049
GO:0010035,response to inorganic substance,BP,41,10,0.00112213666186111
GO:0006518,peptide metabolic process,BP,22,7,0.00120425984286792
GO:0009719,response to endogenous stimulus,BP,186,27,0.00121405029177776
GO:0051254,positive regulation of RNA metabolic process,BP,689,73,0.00121853586594868
GO:0051240,positive regulation of multicellular organismal process,BP,188,27,0.00143865769585335
GO:0032870,cellular response to hormone stimulus,BP,89,16,0.00148308041557131
GO:0045935,positive regulation of nucleobase-containing compound metabolic process,BP,693,73,0.00148639603410819
GO:0006397,mRNA processing,BP,17,6,0.0015001110834265
GO:0007268,chemical synaptic transmission,BP,17,6,0.0015001110834265
GO:0098916,anterograde trans-synaptic signaling,BP,17,6,0.0015001110834265
GO:0099537,trans-synaptic signaling,BP,17,6,0.0015001110834265
GO:0032355,response to estradiol,BP,23,7,0.00161545068997403
GO:0010595,positive regulation of endothelial cell migration,BP,12,5,0.00162835242842432
GO:0045893,positive regulation of transcription, DNA-templated,BP,685,72,0.00181342795281723
GO:1902680,positive regulation of RNA biosynthetic process,BP,685,72,0.00181342795281723
GO:1903508,positive regulation of nucleic acid-templated transcription,BP,685,72,0.00181342795281723
GO:0009725,response to hormone,BP,108,18,0.0018587159099532
GO:0071310,cellular response to organic substance,BP,251,33,0.00192581734953114
GO:0070341,fat cell proliferation,BP,4,3,0.00197273796892797
GO:0070344,regulation of fat cell proliferation,BP,4,3,0.00197273796892797
GO:0070345,negative regulation of fat cell proliferation,BP,4,3,0.00197273796892797
GO:0044849,estrous cycle,BP,4,3,0.00197273796892797
GO:0070229,negative regulation of lymphocyte apoptotic process,BP,4,3,0.00197273796892797
GO:0030098,lymphocyte differentiation,BP,67,13,0.00206145442086438
GO:0010557,positive regulation of macromolecule biosynthetic process,BP,688,72,0.00209508307714457
GO:0006412,translation,BP,18,6,0.00210191076285824
GO:0006417,regulation of translation,BP,18,6,0.00210191076285824
GO:0033993,response to lipid,BP,118,19,0.00210859345395421
GO:0034248,regulation of cellular amide metabolic process,BP,24,7,0.00212838198789206
GO:0050896,response to stimulus,BP,524,58,0.00216757750616756
GO:0031328,positive regulation of cellular biosynthetic process,BP,689,72,0.00219737059611719
GO:0009605,response to external stimulus,BP,174,25,0.00221280543892119
GO:0051592,response to calcium ion,BP,8,4,0.00225055988184211
GO:0071277,cellular response to calcium ion,BP,8,4,0.00225055988184211
GO:2000106,regulation of leukocyte apoptotic process,BP,8,4,0.00225055988184211
GO:0009891,positive regulation of biosynthetic process,BP,690,72,0.0023041278829153
GO:0071495,cellular response to endogenous stimulus,BP,166,24,0.00251634798128365
GO:0043603,cellular amide metabolic process,BP,25,7,0.0027589205668305
GO:0043618,regulation of transcription from RNA polymerase II promoter in response to stress,BP,19,6,0.00286986926383551
GO:0099536,synaptic signaling,BP,19,6,0.00286986926383551
GO:0043043,peptide biosynthetic process,BP,19,6,0.00286986926383551
GO:0071453,cellular response to oxygen levels,BP,19,6,0.00286986926383551
GO:0001666,response to hypoxia,BP,32,8,0.00302415707095963
GO:0036293,response to decreased oxygen levels,BP,32,8,0.00302415707095963
GO:0036003,positive regulation of transcription from RNA polymerase II promoter in response to stress,BP,14,5,0.00360206520853884
GO:0043620,regulation of DNA-templated transcription in response to stress,BP,20,6,0.00383036799661812
GO:0043604,amide biosynthetic process,BP,20,6,0.00383036799661812
GO:0030099,myeloid cell differentiation,BP,80,14,0.00385469509651798
GO:0002376,immune system process,BP,202,27,0.00428007329202253
GO:0062197,cellular response to chemical stress,BP,34,8,0.00454175096462815
GO:0009607,response to biotic stimulus,BP,73,13,0.0045725685852396
GO:0043619,regulation of transcription from RNA polymerase II promoter in response to oxidative stress,BP,5,3,0.00463887216609856
GO:0071548,response to dexamethasone,BP,5,3,0.00463887216609856
GO:2000107,negative regulation of leukocyte apoptotic process,BP,5,3,0.00463887216609856
GO:0009991,response to extracellular stimulus,BP,49,10,0.00467647282489704
GO:0030097,hemopoiesis,BP,145,21,0.00471637441907123
GO:0045595,regulation of cell differentiation,BP,307,37,0.00487278140128544
GO:0050804,modulation of chemical synaptic transmission,BP,15,5,0.00505537859816269
GO:0099177,regulation of trans-synaptic signaling,BP,15,5,0.00505537859816269
GO:0001936,regulation of endothelial cell proliferation,BP,15,5,0.00505537859816269
GO:0006979,response to oxidative stress,BP,35,8,0.00549202426942706
GO:0070482,response to oxygen levels,BP,35,8,0.00549202426942706
GO:0031329,regulation of cellular catabolic process,BP,28,7,0.00552682938460584
