,Pathway,N,DE,P.DE
path:hsa04218,Cellular senescence,21,7,0.000802209505172954
path:hsa04137,Mitophagy - animal,11,5,0.000946309631380371
path:hsa04928,Parathyroid hormone synthesis, secretion and action,26,7,0.003229904677491
path:hsa01522,Endocrine resistance,10,4,0.00561426520074587
path:hsa05224,Breast cancer,23,6,0.00755785362222563
path:hsa05200,Pathways in cancer,62,11,0.0082721981196253
path:hsa04934,Cushing syndrome,24,6,0.00942824342731638
path:hsa04110,Cell cycle,12,4,0.0116630568675029
path:hsa05223,Non-small cell lung cancer,12,4,0.0116630568675029
path:hsa05211,Renal cell carcinoma,7,3,0.013778912102101
path:hsa04659,Th17 cell differentiation,26,6,0.0141212520338443
path:hsa04915,Estrogen signaling pathway,20,5,0.0176350032165366
path:hsa04010,MAPK signaling pathway,21,5,0.0216951636241534
path:hsa04919,Thyroid hormone signaling pathway,15,4,0.026644134127637
path:hsa05208,Chemical carcinogenesis - reactive oxygen species,9,3,0.0293624891598928
path:hsa04932,Non-alcoholic fatty liver disease,16,4,0.033377169723862
path:hsa05226,Gastric cancer,16,4,0.033377169723862
path:hsa05214,Glioma,4,2,0.0342181451400164
path:hsa05231,Choline metabolism in cancer,4,2,0.0342181451400164
path:hsa05163,Human cytomegalovirus infection,25,5,0.043783218185671
path:hsa05167,Kaposi sarcoma-associated herpesvirus infection,25,5,0.043783218185671
path:hsa04936,Alcoholic liver disease,11,3,0.0512622860699205
path:hsa05014,Amyotrophic lateral sclerosis,5,2,0.0540714896127054
path:hsa05218,Melanoma,5,2,0.0540714896127054
path:hsa05219,Bladder cancer,5,2,0.0540714896127054
path:hsa05166,Human T-cell leukemia virus 1 infection,45,7,0.0622370338630798
path:hsa05202,Transcriptional misregulation in cancer,64,9,0.06383776490711
path:hsa05161,Hepatitis B,37,6,0.0691993933171451
path:hsa05010,Alzheimer disease,6,2,0.0769277588158011
path:hsa05012,Parkinson disease,6,2,0.0769277588158011
path:hsa05022,Pathways of neurodegeneration - multiple diseases,6,2,0.0769277588158011
path:hsa04350,TGF-beta signaling pathway,13,3,0.0790548078201044
path:hsa05222,Small cell lung cancer,13,3,0.0790548078201044
path:hsa04140,Autophagy - animal,1,1,0.0799755799755799
path:hsa04720,Long-term potentiation,1,1,0.0799755799755799
path:hsa04141,Protein processing in endoplasmic reticulum,7,2,0.102187297501281
path:hsa04210,Apoptosis,7,2,0.102187297501281
path:hsa04022,cGMP-PKG signaling pathway,23,4,0.105499094053404
path:hsa05417,Lipid and atherosclerosis,23,4,0.105499094053404
path:hsa04625,C-type lectin receptor signaling pathway,15,3,0.112016921414147
path:hsa05207,Chemical carcinogenesis - receptor activation,33,5,0.117685997285077
path:hsa05215,Prostate cancer,24,4,0.119129283387083
path:hsa04921,Oxytocin signaling pathway,8,2,0.129325943499558
path:hsa05213,Endometrial cancer,8,2,0.129325943499558
path:hsa05160,Hepatitis C,16,3,0.130164556419598
path:hsa05206,MicroRNAs in cancer,16,3,0.130164556419598
path:hsa05225,Hepatocellular carcinoma,16,3,0.130164556419598
path:hsa01521,EGFR tyrosine kinase inhibitor resistance,2,1,0.153600014320845
path:hsa04650,Natural killer cell mediated cytotoxicity,2,1,0.153600014320845
path:hsa04914,Progesterone-mediated oocyte maturation,2,1,0.153600014320845
path:hsa04976,Bile secretion,2,1,0.153600014320845
path:hsa04722,Neurotrophin signaling pathway,9,2,0.157886930453748
path:hsa05418,Fluid shear stress and atherosclerosis,9,2,0.157886930453748
path:hsa04151,PI3K-Akt signaling pathway,18,3,0.169208968762744
path:hsa04658,Th1 and Th2 cell differentiation,18,3,0.169208968762744
path:hsa04371,Apelin signaling pathway,10,2,0.18747358821016
path:hsa05212,Pancreatic cancer,10,2,0.18747358821016
path:hsa04380,Osteoclast differentiation,20,3,0.211136131674899
path:hsa05169,Epstein-Barr virus infection,20,3,0.211136131674899
path:hsa04068,FoxO signaling pathway,11,2,0.217742766463547
path:hsa05216,Thyroid cancer,11,2,0.217742766463547
path:hsa03460,Fanconi anemia pathway,3,1,0.221374096303711
path:hsa04080,Neuroactive ligand-receptor interaction,3,1,0.221374096303711
path:hsa04114,Oocyte meiosis,3,1,0.221374096303711
path:hsa04213,Longevity regulating pathway - multiple species,3,1,0.221374096303711
path:hsa04910,Insulin signaling pathway,3,1,0.221374096303711
path:hsa05230,Central carbon metabolism in cancer,3,1,0.221374096303711
path:hsa04152,AMPK signaling pathway,12,2,0.248398913928778
path:hsa05017,Spinocerebellar ataxia,12,2,0.248398913928778
path:hsa05020,Prion disease,12,2,0.248398913928778
path:hsa05203,Viral carcinogenesis,32,4,0.249797182152832
path:hsa05220,Chronic myeloid leukemia,13,2,0.279188751403082
path:hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,13,2,0.279188751403082
path:hsa04912,GnRH signaling pathway,4,1,0.283759413358277
path:hsa05134,Legionellosis,4,1,0.283759413358277
path:hsa05412,Arrhythmogenic right ventricular cardiomyopathy,4,1,0.283759413358277
path:hsa05321,Inflammatory bowel disease,14,2,0.309896482644122
path:hsa04927,Cortisol synthesis and secretion,15,2,0.340339492064117
path:hsa04066,HIF-1 signaling pathway,5,1,0.341181394294669
path:hsa04612,Antigen processing and presentation,5,1,0.341181394294669
path:hsa05415,Diabetic cardiomyopathy,5,1,0.341181394294669
path:hsa04211,Longevity regulating pathway,16,2,0.370364482870478
path:hsa04310,Wnt signaling pathway,17,2,0.399844013506825
path:hsa04668,TNF signaling pathway,17,2,0.399844013506825
path:hsa04935,Growth hormone synthesis, secretion and action,17,2,0.399844013506825
path:hsa05221,Acute myeloid leukemia,17,2,0.399844013506825
path:hsa03320,PPAR signaling pathway,7,1,0.44267292537197
path:hsa04014,Ras signaling pathway,7,1,0.44267292537197
path:hsa04062,Chemokine signaling pathway,7,1,0.44267292537197
path:hsa04330,Notch signaling pathway,7,1,0.44267292537197
path:hsa04660,T cell receptor signaling pathway,7,1,0.44267292537197
path:hsa04662,B cell receptor signaling pathway,7,1,0.44267292537197
path:hsa04920,Adipocytokine signaling pathway,7,1,0.44267292537197
path:hsa04520,Adherens junction,8,1,0.487436779925171
path:hsa04657,IL-17 signaling pathway,8,1,0.487436779925171
path:hsa05135,Yersinia infection,8,1,0.487436779925171
path:hsa05217,Basal cell carcinoma,8,1,0.487436779925171
path:hsa04725,Cholinergic synapse,9,1,0.528630511109099
path:hsa05132,Salmonella infection,9,1,0.528630511109099
path:hsa05170,Human immunodeficiency virus 1 infection,9,1,0.528630511109099
path:hsa05165,Human papillomavirus infection,35,3,0.540235176779618
path:hsa05131,Shigellosis,10,1,0.566536835875648
path:hsa05210,Colorectal cancer,10,1,0.566536835875648
path:hsa04261,Adrenergic signaling in cardiomyocytes,11,1,0.601416242816858
path:hsa04911,Insulin secretion,11,1,0.601416242816858
path:hsa04916,Melanogenesis,11,1,0.601416242816858
path:hsa04922,Glucagon signaling pathway,11,1,0.601416242816858
path:hsa05034,Alcoholism,11,1,0.601416242816858
path:hsa00310,Lysine degradation,12,1,0.633508727261229
path:hsa04917,Prolactin signaling pathway,12,1,0.633508727261229
path:hsa04918,Thyroid hormone synthesis,12,1,0.633508727261229
path:hsa04925,Aldosterone synthesis and secretion,12,1,0.633508727261229
path:hsa04933,AGE-RAGE signaling pathway in diabetic complications,12,1,0.633508727261229
path:hsa05152,Tuberculosis,12,1,0.633508727261229
path:hsa05205,Proteoglycans in cancer,12,1,0.633508727261229
path:hsa04728,Dopaminergic synapse,13,1,0.663035391916075
path:hsa05031,Amphetamine addiction,13,1,0.663035391916075
path:hsa01100,Metabolic pathways,14,1,0.690199923398533
path:hsa04926,Relaxin signaling pathway,14,1,0.690199923398533
path:hsa05030,Cocaine addiction,14,1,0.690199923398533
path:hsa05016,Huntington disease,15,1,0.715189954208134
path:hsa04024,cAMP signaling pathway,16,1,0.738178318963978
path:hsa04390,Hippo signaling pathway,16,1,0.738178318963978
path:hsa04931,Insulin resistance,18,1,0.778774261228886
path:hsa04550,Signaling pathways regulating pluripotency of stem cells,39,2,0.833319785197032
path:hsa05168,Herpes simplex virus 1 infection,322,19,0.955732518530519
path:hsa00230,Purine metabolism,1,0,1
path:hsa00240,Pyrimidine metabolism,1,0,1
path:hsa00270,Cysteine and methionine metabolism,1,0,1
path:hsa00983,Drug metabolism - other enzymes,1,0,1
path:hsa01232,Nucleotide metabolism,1,0,1
path:hsa01240,Biosynthesis of cofactors,1,0,1
path:hsa01523,Antifolate resistance,2,0,1
path:hsa01524,Platinum drug resistance,2,0,1
path:hsa03013,Nucleocytoplasmic transport,1,0,1
path:hsa03022,Basal transcription factors,6,0,1
path:hsa03040,Spliceosome,1,0,1
path:hsa03250,Viral life cycle - HIV-1,1,0,1
path:hsa03410,Base excision repair,1,0,1
path:hsa03420,Nucleotide excision repair,1,0,1
path:hsa04012,ErbB signaling pathway,5,0,1
path:hsa04064,NF-kappa B signaling pathway,4,0,1
path:hsa04071,Sphingolipid signaling pathway,3,0,1
path:hsa04115,p53 signaling pathway,2,0,1
path:hsa04120,Ubiquitin mediated proteolysis,1,0,1
path:hsa04144,Endocytosis,3,0,1
path:hsa04145,Phagosome,1,0,1
path:hsa04216,Ferroptosis,1,0,1
path:hsa04217,Necroptosis,9,0,1
path:hsa04340,Hedgehog signaling pathway,3,0,1
path:hsa04360,Axon guidance,3,0,1
path:hsa04370,VEGF signaling pathway,1,0,1
path:hsa04392,Hippo signaling pathway - multiple species,4,0,1
path:hsa04510,Focal adhesion,3,0,1
path:hsa04530,Tight junction,4,0,1
path:hsa04611,Platelet activation,1,0,1
path:hsa04613,Neutrophil extracellular trap formation,2,0,1
path:hsa04620,Toll-like receptor signaling pathway,8,0,1
path:hsa04621,NOD-like receptor signaling pathway,9,0,1
path:hsa04622,RIG-I-like receptor signaling pathway,5,0,1
path:hsa04623,Cytosolic DNA-sensing pathway,4,0,1
path:hsa04630,JAK-STAT signaling pathway,9,0,1
path:hsa04670,Leukocyte transendothelial migration,1,0,1
path:hsa04710,Circadian rhythm,9,0,1
path:hsa04713,Circadian entrainment,2,0,1
path:hsa04714,Thermogenesis,13,0,1
path:hsa04810,Regulation of actin cytoskeleton,1,0,1
path:hsa04924,Renin secretion,1,0,1
path:hsa04929,GnRH secretion,1,0,1
path:hsa04930,Type II diabetes mellitus,2,0,1
path:hsa04950,Maturity onset diabetes of the young,21,0,1
path:hsa04961,Endocrine and other factor-regulated calcium reabsorption,2,0,1
path:hsa04962,Vasopressin-regulated water reabsorption,7,0,1
path:hsa04978,Mineral absorption,1,0,1
path:hsa05120,Epithelial cell signaling in Helicobacter pylori infection,3,0,1
path:hsa05130,Pathogenic Escherichia coli infection,4,0,1
path:hsa05133,Pertussis,7,0,1
path:hsa05140,Leishmaniasis,6,0,1
path:hsa05142,Chagas disease,4,0,1
path:hsa05145,Toxoplasmosis,4,0,1
path:hsa05146,Amoebiasis,2,0,1
path:hsa05162,Measles,14,0,1
path:hsa05164,Influenza A,7,0,1
path:hsa05171,Coronavirus disease - COVID-19,9,0,1
path:hsa05323,Rheumatoid arthritis,2,0,1
path:hsa05340,Primary immunodeficiency,3,0,1
